Timestamp (s), Slip Angle (deg)
14.033333, -6.159804
14.066667, 8.579631
14.100000, -11.790994
14.133333, -14.740583
14.166667, -16.230571
14.200000, -13.742205
14.233333, -6.483342
14.266667, 6.832887
14.300000, -2.716099
14.333333, -8.107339
14.366667, -19.902629
14.400000, -1.868362
14.433333, -18.949972
14.466667, 2.471692
14.500000, -6.451758
14.533333, -8.526157
14.566667, -5.266718
14.600000, 0.210668
14.633333, 2.270756
14.666667, -5.860743
14.700000, -1.505449
14.733333, -7.951849
14.766667, -12.642165
14.800000, -12.170261
14.833333, -6.589330
14.866667, -11.242920
14.900000, -8.727171
14.933333, -10.974202
14.966667, -7.550614
15.000000, -6.349553
15.033333, 1.970178
15.066667, -1.275533
15.100000, -10.669242
15.133333, -11.508323
15.166667, -9.900771
15.200000, -4.236329
15.233333, 5.505469
15.266667, -4.124677
15.300000, 0.866744
15.333333, -11.351032
15.366667, -10.402492
15.400000, -8.099320
15.433333, -3.492263
15.466667, -6.699793
15.500000, -10.786996
15.533333, -4.840976
15.566667, -5.048057
15.600000, -7.376763
15.633333, -11.651531
15.666667, -6.340208
15.700000, -9.066303
15.733333, -6.927391
15.766667, 0.132913
15.800000, 2.378624
15.833333, -0.381607
15.866667, -7.998785
15.900000, -3.333503
15.933333, 1.087058
15.966667, -2.169881
16.000000, 0.054766
16.033333, -3.740185
16.066667, -1.868917
16.100000, -8.156360
16.133333, 2.558127
16.166667, -2.472049
16.200000, -2.740451
16.233333, -2.731108
16.266667, -3.995400
16.300000, -4.148265
16.333333, 5.046941
16.366667, 4.621374
16.400000, -2.716163
16.433333, -0.024689
16.466667, 5.163059
16.500000, -9.359328
16.533333, -6.171414
16.566667, 3.559068
16.600000, -6.152359
16.633333, -6.659560
16.666667, -6.135739
16.700000, -0.987203
16.733333, 4.941553
16.766667, -2.773616
16.800000, -4.470999
16.833333, 1.152779
16.866667, -3.465364
16.900000, 0.723815
16.933333, -3.095668
16.966667, -2.577749
17.000000, 1.690148
17.033333, -3.806971
17.066667, -6.814356
17.100000, 5.959970
17.133333, 1.236358
17.166667, 1.506093
17.200000, 2.542310
17.233333, -7.757470
17.266667, 9.265473
17.300000, 0.179303
17.333333, 0.488864
17.366667, -3.671956
17.400000, -5.566979
17.433333, -20.023191
17.466667, -4.006257
17.500000, -3.581239
17.533333, -2.189887
17.566667, -7.078381
17.600000, -13.859317
17.633333, -3.304758
17.666667, -14.513829
17.700000, -6.303019
17.733333, -4.983245
17.766667, -14.149942
17.800000, -11.281715
17.833333, -18.341206
17.866667, -1.541120
17.900000, -4.480066
17.933333, -4.336641
17.966667, -2.554184
18.000000, 10.116841
18.033333, 5.553454
18.066667, 3.107624
18.100000, 0.850528
18.133333, -1.757593
18.166667, -5.443425
18.200000, -2.119153
18.233333, -0.800103
18.266667, -2.842224
18.300000, 5.420346
18.333333, -1.466370
18.366667, -5.411206
18.400000, -12.282908
18.433333, -9.994472
18.466667, -4.074442
18.500000, -1.094101
18.533333, -7.748586
18.566667, -7.638008
18.600000, 5.207001
18.633333, -0.143613
18.666667, -7.553672
18.700000, 0.284502
18.733333, 3.483472
18.766667, 1.467631
18.800000, -4.165096
18.833333, 3.141228
18.866667, 1.681973
18.900000, -1.290128
18.933333, -8.295920
18.966667, -7.962749
19.000000, -3.523024
19.033333, -9.171150
19.066667, -3.712346
19.100000, -8.653030
19.133333, -13.351363
19.166667, 2.323454
19.200000, 6.926855
19.233333, 0.102612
19.266667, -1.049279
19.300000, 2.761086
19.333333, -11.064420
19.366667, -13.720070
19.400000, -0.737886
19.433333, -19.882697
19.466667, -19.732565
19.500000, -6.908754
19.533333, -0.753666
19.566667, -9.880189
19.600000, -14.707469
19.633333, -12.557190
19.666667, -15.648050
19.700000, 1.132887
19.733333, -1.021932
19.766667, 4.305830
19.800000, -5.986456
19.833333, -13.269451
19.866667, -6.006735
19.900000, -18.790670
19.933333, 1.984303
19.966667, -4.059263
20.000000, -5.172360
20.033333, -10.917178
20.066667, -12.493364
20.100000, -9.207340
20.133333, -6.059744
20.166667, -3.168439
20.200000, -5.548289
20.233333, -9.792201
20.266667, -1.646363
20.300000, -13.088406
20.333333, -5.636027
20.366667, -3.372051
20.400000, -19.686529
20.433333, -12.710922
20.466667, -4.337234
20.500000, -9.505697
20.533333, -2.810721
20.566667, -10.760846
20.600000, -7.098715
20.633333, 2.506667
20.666667, -8.030637
20.700000, -12.404822
20.733333, -5.783280
20.766667, -2.357668
20.800000, -7.211573
20.833333, -12.360899
20.866667, -6.606151
20.900000, -7.501805
20.933333, -11.584072
20.966667, -2.530983
21.000000, -12.095016
21.033333, -7.745705
21.066667, -6.224965
21.100000, -14.160607
21.133333, -14.886099
21.166667, -11.409128
21.200000, -15.507649
21.233333, -4.346849
21.266667, -15.233565
21.300000, -15.529687
21.333333, -2.086663
21.366667, -7.925302
21.400000, -5.624461
21.433333, -9.962353
21.466667, -8.418864
21.500000, 1.987454
21.533333, -2.821959
21.566667, 4.423682
21.600000, -1.152672
21.633333, -2.850094
21.666667, 9.034187
21.700000, -13.622698
21.733333, 3.789068
21.766667, -3.256563
21.800000, -3.425608
21.833333, -0.829835
21.866667, -10.089652
21.900000, 1.528859
21.933333, 7.483565
21.966667, -12.285120
22.000000, -10.442898
22.033333, -8.528113
22.066667, 3.632553
22.100000, -1.960667
22.133333, -3.111482
22.166667, 1.423085
22.200000, -7.931186
22.233333, 0.972709
22.266667, 3.361405
22.300000, 1.352963
22.333333, -3.925222
22.366667, -8.690034
22.400000, 5.641949
22.433333, 3.487779
22.466667, -10.272677
22.500000, -6.898845
22.533333, -4.894749
22.566667, 0.726741
22.600000, -1.497092
22.633333, 2.276689
22.666667, -6.371182
22.700000, -15.647734
22.733333, -7.024812
22.766667, -3.440189
22.800000, -8.134074
22.833333, 1.061651
22.866667, -7.145456
22.900000, -13.690179
22.933333, -2.718543
22.966667, -5.612498
23.000000, 8.054598
23.033333, 6.818500
23.066667, 9.959265
23.100000, 4.088166
23.133333, 2.730870
23.166667, 3.865948
23.200000, 2.968600
23.233333, 4.493348
23.266667, 5.602353
23.300000, -14.999468
23.333333, -2.798363
23.366667, 5.845285
23.400000, -3.197820
23.433333, -4.073145
23.466667, -28.598726
23.500000, -3.522977
23.533333, -11.020823
23.566667, -12.944981
23.600000, -14.480559
23.633333, -5.204935
23.666667, -4.603070
23.700000, 0.703808
23.733333, -1.173517
23.766667, -2.209037
23.800000, 5.086484
23.833333, -8.348917
23.866667, -11.766670
23.900000, -8.451639
23.933333, -11.260525
23.966667, 2.484746
24.000000, 4.190635
24.033333, -9.100607
24.066667, -9.069513
24.100000, 1.499516
24.133333, -14.944226
24.166667, -3.365670
24.200000, -4.543417
24.233333, -6.059770
24.266667, -4.858687
24.300000, -20.862896
24.333333, -12.626358
24.366667, -1.478361
24.400000, -13.056935
24.433333, -10.462347
24.466667, -13.419314
24.500000, -4.753616
24.533333, 3.481708
24.566667, 9.276750
24.600000, 14.832741
24.633333, 5.459489
24.666667, 0.958868
24.700000, -1.562655
24.733333, -3.300939
24.766667, -2.168849
24.800000, -0.816002
24.833333, 7.693254
24.866667, 3.966680
24.900000, -1.490283
24.933333, 1.557075
24.966667, -0.657861
25.000000, -0.010109
25.033333, -0.490729
25.066667, -3.613256
25.100000, -1.316204
25.133333, 0.113427
25.166667, -2.821428
25.200000, -1.062254
25.233333, -1.136187
25.266667, -1.615907
25.300000, -1.967867
25.333333, -1.175926
25.366667, -1.321648
25.400000, -1.512839
25.433333, -1.519213
25.466667, 1.190954
25.500000, -1.438154
25.533333, -1.387201
25.566667, 0.766932
25.600000, 0.743717
25.633333, -1.213935
25.666667, -2.026775
25.700000, -0.049463
25.733333, 1.900726
25.766667, -1.983225
25.800000, -2.943474
25.833333, -0.426733
25.866667, 1.635686
25.900000, -0.025194
25.933333, -2.275580
25.966667, 1.036747
26.000000, 1.356062
26.033333, 0.014868
26.066667, -1.849209
26.100000, -0.244025
26.133333, 0.152825
26.166667, -0.727102
26.200000, -1.744070
26.233333, -1.855380
26.266667, -1.247635
26.300000, 0.606491
26.333333, 0.203141
26.366667, -0.748826
26.400000, 0.354755
26.433333, 1.140585
26.466667, -0.291705
26.500000, -0.930285
26.533333, 0.176144
26.566667, -0.340269
26.600000, -2.001062
26.633333, -2.922822
26.666667, 0.562754
26.700000, -1.350999
26.733333, -2.038528
26.766667, 0.422105
26.800000, 0.976044
26.833333, -0.245887
26.866667, -1.910908
26.900000, 0.016546
26.933333, 0.157402
26.966667, -2.201684
27.000000, -2.256177
27.033333, -2.139594
27.066667, -0.220385
27.100000, -2.260181
27.133333, -2.564918
27.166667, -3.067649
27.200000, -2.167971
27.233333, -4.923213
27.266667, -5.428082
27.300000, -3.061843
27.333333, -3.149746
27.366667, -3.663254
27.400000, -5.659101
27.433333, -4.442640
27.466667, -4.307563
27.500000, -5.062855
27.533333, -3.591166
27.566667, -2.647182
27.600000, -0.687916
27.633333, -4.569990
27.666667, -3.907103
27.700000, -3.828789
27.733333, -5.206879
27.766667, -4.678481
27.800000, -5.209422
27.833333, -4.966621
27.866667, -4.671485
27.900000, -4.243538
27.933333, -3.446864
27.966667, -4.342341
28.000000, -4.586227
28.033333, -6.499145
28.066667, -6.559378
28.100000, -4.752655
28.133333, -8.245616
28.166667, -7.368574
28.200000, -8.600272
28.233333, -7.336110
28.266667, -5.820150
28.300000, -8.280985
28.333333, -9.104462
28.366667, -5.106507
28.400000, -5.447916
28.433333, -7.946645
28.466667, -6.598547
28.500000, -6.088249
28.533333, -6.268035
28.566667, 1.302513
28.600000, -9.160777
28.633333, -13.408762
28.666667, -8.809281
28.700000, -10.805294
28.733333, -9.030876
28.766667, -8.953355
28.800000, -9.123623
28.833333, -8.777402
28.866667, -7.616718
28.900000, -8.083416
28.933333, -7.095990
28.966667, -6.188033
29.000000, -9.110248
29.033333, -8.774501
29.066667, -9.259965
29.100000, -11.169466
29.133333, -11.336711
